grid,laps,circuit_type,length,turns,direction,drs_zones,overtake_rating,pit_stops,laps_led,is_verstappen,driver_rank,constructor_rank,position
6,56,3,5.543,15,1,2,3,3,0,0,7,4,3
2,56,3,5.543,15,1,2,3,4,0,0,3,2,8
4,56,3,5.543,15,1,2,3,3,0,0,2,2,2
1,56,3,5.543,15,1,2,3,3,54,1,1,1,1
3,56,3,5.543,15,1,2,3,4,0,0,4,1,4
8,58,1,5.303,16,1,2,3,3,0,0,7,3,7
5,58,1,5.303,16,1,2,3,3,0,0,4,3,4
6,58,1,5.303,16,1,2,3,2,0,0,3,4,3
4,58,1,5.303,16,1,2,3,3,0,0,6,2,6
2,58,1,5.303,16,1,2,3,2,3,0,2,2,2
3,58,1,5.303,16,1,2,3,3,0,0,5,1,5
1,58,1,5.303,16,1,2,3,2,55,1,1,1,1
5,56,3,5.543,15,1,2,3,4,2,0,5,3,6
7,56,3,5.543,15,1,2,3,3,0,0,6,3,5
14,56,3,5.543,15,1,2,3,3,0,0,13,7,10
11,56,3,5.543,15,1,2,3,3,0,0,12,8,9
10,56,3,5.543,15,1,2,3,2,0,0,9,5,7
1,56,3,5.451,16,1,2,3,2,18,1,1,1,2
18,56,3,5.451,16,1,2,3,3,0,0,4,1,3
3,56,3,5.451,16,1,2,3,3,6,0,2,2,1
2,56,3,5.451,16,1,2,3,3,13,0,3,2,4
10,56,3,5.451,16,1,2,3,2,0,0,7,4,9
16,56,3,5.451,16,1,2,3,2,0,0,8,4,12
5,56,3,5.451,16,1,2,3,2,2,0,5,3,7
6,56,3,5.451,16,1,2,3,2,3,0,6,3,6
9,56,3,5.451,16,1,2,3,3,0,0,12,7,14
8,56,3,5.451,16,1,2,3,2,0,0,14,8,11
15,56,3,5.451,16,1,2,3,2,0,0,17,10,13
4,56,3,5.451,16,1,2,3,3,14,0,9,5,5
14,56,3,5.451,16,1,2,3,3,0,0,11,5,8
13,56,3,5.451,16,1,2,3,2,0,0,10,6,10
1,58,2,5.338,14,0,2,4,4,57,1,1,1,1
2,58,2,5.338,14,0,2,4,4,0,0,3,1,2
4,58,2,5.338,14,0,2,4,4,0,0,2,2,4
6,58,2,5.338,14,0,2,4,3,1,0,4,2,6
7,58,2,5.338,14,0,2,4,4,0,0,8,4,8
9,58,2,5.338,14,0,2,4,4,0,0,7,4,7
5,58,2,5.338,14,0,2,4,4,0,0,5,3,3
10,58,2,5.338,14,0,2,4,4,0,0,6,3,11
16,58,2,5.338,14,0,2,4,3,0,0,12,7,9
3,58,2,5.338,14,0,2,4,4,0,0,9,5,5
8,58,2,5.338,14,0,2,4,4,0,0,11,5,12
24,58,2,5.338,14,0,2,4,3,0,0,10,6,10
2,66,0,4.675,16,1,2,3,4,39,1,1,1,1
1,66,0,4.675,16,1,2,3,4,0,0,3,1,4
3,66,0,4.675,16,1,2,3,4,10,0,2,2,2
5,66,0,4.675,16,1,2,3,3,0,0,4,2,3
1,78,4,3.337,19,1,1,1,1,61,1,1,1,1
3,78,4,3.337,19,1,1,1,2,0,0,3,1,4
9,78,4,3.337,19,1,1,1,3,0,0,2,2,6
2,78,4,3.337,19,1,1,1,3,16,0,4,2,3
4,78,4,3.337,19,1,1,1,2,1,0,5,3,2
12,78,4,3.337,19,1,1,1,1,0,0,10,6,5
1,70,0,4.361,14,1,2,4,3,68,1,1,1,2
4,70,0,4.361,14,1,2,4,3,0,0,3,1,3
7,70,0,4.361,14,1,2,4,6,1,0,2,2,1
10,70,0,4.361,14,1,2,4,2,0,0,7,4,5
3,70,0,4.361,14,1,2,4,4,1,0,6,3,6
15,70,0,4.361,14,1,2,4,4,0,0,13,7,10
24,70,0,4.361,14,1,2,4,3,0,0,14,7,8
16,70,0,4.361,14,1,2,4,4,0,0,15,9,9
6,70,0,4.361,14,1,2,4,4,0,0,10,5,11
8,70,0,4.361,14,1,2,4,4,0,0,9,5,4
13,70,0,4.361,14,1,2,4,2,0,0,11,6,7
17,70,0,4.361,14,1,2,4,2,0,0,18,6,12
1,57,1,5.419,25,1,2,2,3,56,1,1,1,1
2,57,1,5.419,25,1,2,2,3,0,0,3,1,3
3,57,1,5.419,25,1,2,2,3,0,0,4,2,4
6,57,1,5.419,25,1,2,2,3,0,0,2,2,6
4,57,1,5.419,25,1,2,2,3,0,0,5,3,2
5,57,1,5.419,25,1,2,2,3,1,0,6,3,5
7,57,1,5.419,25,1,2,2,3,0,0,7,5,7
2,52,3,5.891,18,1,2,4,3,27,1,1,1,2
1,52,3,5.891,18,1,2,4,3,0,0,2,1,3
10,52,3,5.891,18,1,2,4,3,0,0,4,2,4
14,52,3,5.891,18,1,2,4,2,0,0,9,5,12
16,52,3,5.891,18,1,2,4,2,0,0,8,5,8
3,52,3,5.891,18,1,2,4,3,25,0,3,3,1
4,52,3,5.891,18,1,2,4,3,0,0,6,3,5
18,52,3,5.891,18,1,2,4,2,0,0,13,7,10
11,52,3,5.891,18,1,2,4,3,0,0,12,8,11
9,52,3,5.891,18,1,2,4,2,0,0,7,4,6
13,52,3,5.891,18,1,2,4,3,0,0,10,4,9
12,52,3,5.891,18,1,2,4,2,0,0,14,6,7
3,60,3,5.148,16,1,2,3,3,0,1,1,1,4
1,60,3,5.148,16,1,2,3,3,17,0,2,1,3
2,60,3,5.148,16,1,2,3,3,38,0,3,2,1
4,60,3,5.148,16,1,2,3,3,5,0,4,3,2
5,60,3,5.148,16,1,2,3,3,0,0,6,3,5
8,60,3,5.148,16,1,2,3,2,0,0,12,7,6
1,70,0,4.381,14,1,2,2,3,5,1,1,1,2
6,70,0,4.381,14,1,2,2,5,0,0,2,1,5
2,70,0,4.381,14,1,2,2,6,39,0,3,2,4
3,70,0,4.381,14,1,2,2,3,26,0,5,2,1
5,70,0,4.381,14,1,2,2,4,0,0,4,3,3
4,70,0,4.381,14,1,2,2,4,0,0,6,3,6
3,44,3,7.004,19,1,2,4,2,0,0,2,1,2
1,44,3,7.004,19,1,2,4,3,32,1,1,1,1
13,44,3,7.004,19,1,2,4,3,1,0,4,2,3
7,44,3,7.004,19,1,2,4,3,0,0,22,5,13
10,44,3,7.004,19,1,2,4,2,0,0,9,5,9
4,44,3,7.004,19,1,2,4,3,0,0,6,3,8
8,44,3,7.004,19,1,2,4,2,5,0,3,3,4
17,44,3,7.004,19,1,2,4,2,0,0,16,7,11
15,44,3,7.004,19,1,2,4,2,0,0,12,7,7
21,44,3,7.004,19,1,2,4,2,0,0,18,9,10
24,44,3,7.004,19,1,2,4,3,0,0,8,4,5
5,44,3,7.004,19,1,2,4,2,3,0,7,4,6
12,44,3,7.004,19,1,2,4,2,0,0,11,6,12
1,53,3,5.793,11,1,2,4,2,49,1,1,1,1
2,53,3,5.793,11,1,2,4,2,0,0,5,2,4
3,53,3,5.793,11,1,2,4,2,0,0,3,2,2
4,53,3,5.793,11,1,2,4,2,4,0,2,3,3
6,53,3,5.793,11,1,2,4,2,0,0,6,3,6
8,53,3,5.793,11,1,2,4,2,0,0,8,4,5
1,61,2,5.063,23,0,2,3,3,61,1,1,1,1
2,61,2,5.063,23,0,2,3,3,0,0,4,1,3
4,61,2,5.063,23,0,2,3,5,0,0,5,2,5
3,61,2,5.063,23,0,2,3,3,0,0,2,2,2
5,61,2,5.063,23,0,2,3,3,0,0,3,3,4
10,61,2,5.063,23,0,2,3,2,0,0,13,6,6
1,53,4,5.807,18,1,1,3,3,16,1,1,1,3
